Abhayapuri#-90.63;26.4&
Abohar#-74.17;30.17&
Abu#-72.83;24.68&
Achalpur#-77.53;21.37&
Acher#-72.53;23.17&
Adhoi#-70.53;23.43&
Adilabad#-78.33;19.55&
Adoni#-77.3;15.55&
Adra#-86.7;23.5&
Agar#-76.03;23.67&
Agartala#-91.38;23.83&
Agori#-82.95;24.55&
Agra#-77.97;27.28&
Ahiri#-80;19.5&
Ahemadabad#-72.67;23&
Ahmadnagar#-74.77;19.12&
Ahmedabad/Ahmadabd#-72.67;23&
Ahmednagar/Ahmednagar#-74.77;19.12&
Ai#-90.73;26.43&
Ait#-79.23;25.9&
Aizawl#-92.73;23.67&
Ajaigarh#-80.27;24.87&
Ajanta Ra.,#-75.83;20.47&
Ajmer#-74.62;26.47&
Ajnala#-74.8;31.83&
Akbarpur, Bihar#-83.97;24.65&
Akbarpur, Uttar Pradesh#-82.53;26.42&
Akhnur#-74.75;32.87&
Aklera#-76.53;24.43&
Akola#-77.03;20.7&
Alaknanda#-78.6;30.13&
Alappuzha/Alleppey#-76.47;9.5&
Aliganj#-79.17;27.5&
Aligarh, Rajasthan.,#-76.25;25.92&
Aligarh, Uttar Pradesh.,#-78.17;27.92&
Alipur Duar#-89.58;26.5&
Allahabad#-81.97;25.42&
Alleppey#-76.47;9.5&
Almora#-79.67;29.63&
Alot#-75.67;23.93&
Alwar#-76.57;27.63&
Amalner#-75.08;21.08&
Amanat#-84.07;24.12&
Amarkantak#-81.75;22.67&
Amarpur#-87;25.08&
Amarwara#-79.17;22.3&
Ambah#-78.22;26.72&
Ambala#-76.93;30.38&
Ambikapur#-83.25;23.25&
Amdhi#-81.45;23.85&
Amet#-73.93;25.3&
Amla#-78.12;21.93&
Amravati#-77.75;20.92&
Amreli#-71.28;21.58&
Amritsar#-74.95;31.58&
Amroha#-78.5;28.88&
Anakapalle#-83.1;17.7&
Anand#-73.32;22.53&
Anantnag#-75.17;33.75&
Anas#-74;23.43&
Andhra Pradesh#-79;18&
Anjar#-70.17;23.1&
