Sign_Num,Position,Reckoning Event,Type,Date_UTC,Time_UTC,Weekday_UTC,Sector,JD,Graha Lord
10,Mineral Lord (Nirasadhipathi),Sun enters Capricorn,Solar Sign Ingress,2026-01-14,09:37:20,Wednesday,"Metals, gems, gold, and mining.",2461054.900929,Mercury
0,King (Raja),Chaitra Shukla Pratipada,Lunar New Year,2026-03-19,01:23:29,Thursday,Overall stability and world leadership.,2461118.557975,Jupiter
1,Prime Minister (Pradhana Mantri),Sun enters Aries,Solar Sign Ingress,2026-04-14,04:02:39,Tuesday,Legislative agenda and executive power.,2461144.668508,Mars
2,Secretary (Sachiva-adhipathi),Sun enters Taurus,Solar Sign Ingress,2026-05-15,00:52:02,Friday,Bureaucracy and administrative implementation.,2461175.536137,Venus
2,Livestock Lord (Pasupala-adhipathi),Sun enters Rohini Nakshatra,Solar Nakshatra Ingress,2026-05-25,10:07:52,Monday,"Health of cattle, pets, and animal welfare.",2461185.922138,Sun
3,Price Lord (Arghadhipathi),Sun enters Gemini,Solar Sign Ingress,2026-06-15,07:23:00,Monday,"Inflation, stock markets, and commerce.",2461206.807647,Sun
3,Cloud Lord (Meghadhipathi),Sun enters Ardra Nakshatra,Solar Nakshatra Ingress,2026-06-22,06:56:04,Monday,"Rainfall, floods, and meteorological events.",2461213.788941,Sun
4,Crop Lord (Sasyadhipathi),Sun enters Cancer,Solar Sign Ingress,2026-07-16,18:09:22,Thursday,"Kharif crops (Paddy, sugarcane, etc.).",2461238.256514,Jupiter
4,Forest Lord (Vanaspati-adhipathi),Sun enters Ashlesha Nakshatra,Solar Nakshatra Ingress,2026-08-03,04:54:21,Monday,"Medicinal plants, forests, and fruit trees.",2461255.704411,Moon
5,Commander (Senadhipathi),Sun enters Leo,Solar Sign Ingress,2026-08-17,02:28:45,Monday,"Defense, policing, and military strength.",2461269.603309,Moon
7,Liquid Lord (Rasadhipathi),Sun enters Libra,Solar Sign Ingress,2026-10-17,14:21:42,Saturday,"Oils, milk, medicines, and liquid chemicals.",2461331.098404,Saturn
9,Grain Lord (Dhanyadhipathi),Sun enters Sagittarius,Solar Sign Ingress,2026-12-16,04:55:02,Wednesday,"Rabi crops (Wheat, pulses, and storage).",2461390.704892,Mercury
